study,parameter,parameter_label,problem,n_var,run_idx,seed,pop_size,n_gen,stagnation_patience,initial_mean_F,initial_mean_CR,final_mean_F,final_mean_CR,mean_F_gen30,mean_CR_gen30,mean_F_gen50,mean_CR_gen50,IGD,HV,runtime_seconds,restart_count
pop_size,pop_size,50,zdt3,30,17,59,50,200,20,0.65,0.5,0.495465859692033,0.5088431764187695,0.7359508444130234,0.5018975565069648,0.7901240980048008,0.5158591259951715,0.049856135146672885,1.0075978235653051,0.7083965000001626,7
pop_size,pop_size,50,zdt3,30,18,60,50,200,20,0.65,0.5,0.5771324200965056,0.527453526171561,0.7181857700102544,0.5260987652085353,0.7504437147958106,0.526991930868436,0.010943156042545034,1.0475813914736718,0.7760996000001796,5
pop_size,pop_size,50,zdt3,30,19,61,50,200,20,0.65,0.5,0.6134256576994974,0.5162856480050629,0.6806701996586209,0.4974109143997266,0.7691006155955209,0.5179063571707188,0.010323385949102325,1.0482514285631854,0.7360164000001532,5
pop_size,pop_size,50,zdt3,30,20,62,50,200,20,0.65,0.5,0.575322240036714,0.5165215847933999,0.7203085307618552,0.5068635468808849,0.7759056004658382,0.5354855956718048,0.010003480513310282,1.0482624789742403,0.6719153999997616,7
pop_size,pop_size,50,zdt3,30,21,63,50,200,20,0.65,0.5,0.6113948785702953,0.5044525432160994,0.8094712510449815,0.5153276448684956,0.8571995861840792,0.5230530274184244,0.010578026751836783,1.0480030511258025,0.681553299999905,5
pop_size,pop_size,50,zdt3,30,22,64,50,200,20,0.65,0.5,0.6139432384973844,0.5255519760195959,0.6991440255905427,0.4544113979220963,0.7625357739280678,0.4679007186939811,0.012610365231022153,1.0469759322352374,0.7268693999999414,5
pop_size,pop_size,50,zdt3,30,23,65,50,200,20,0.65,0.5,0.5410270574132787,0.505285209961396,0.6686382656218308,0.5067268782613674,0.7627835703487008,0.517033087522729,0.019834951264008152,1.0390726458843007,0.6785543000000871,7
pop_size,pop_size,50,zdt3,30,24,66,50,200,20,0.65,0.5,0.6386635106408618,0.5316594332403035,0.7785985918026639,0.5262178945502869,0.7993743042293558,0.4889016319527941,0.010836011045862314,1.047782615690034,0.6607075000001714,5
pop_size,pop_size,50,zdt3,30,25,67,50,200,20,0.65,0.5,0.5799211641060554,0.5762547043085648,0.7814344986282664,0.5235483764029101,0.8144689581169781,0.54586732789707,0.010897385205653289,1.0468221718115067,0.7425477000001592,4
pop_size,pop_size,50,zdt3,30,26,68,50,200,20,0.65,0.5,0.5765511707828371,0.5155725564745179,0.7366639101868401,0.5424924263559162,0.7716522555756763,0.5451060461653398,0.011558302120357473,1.047430358361918,0.6861125999998876,5
pop_size,pop_size,50,zdt3,30,27,69,50,200,20,0.65,0.5,0.5923693852230733,0.5193958042318729,0.7851338636713311,0.5048376835388475,0.8119511266914007,0.5396810177396241,0.011544322513815845,1.0473229923772895,0.628068600000006,7
pop_size,pop_size,50,zdt3,30,28,70,50,200,20,0.65,0.5,0.6110623636481429,0.5421855912547173,0.7709431982958085,0.6058445168738804,0.8055699366609569,0.6128293006085844,0.019987905203200415,1.0435965674683596,0.5846612000000277,6
pop_size,pop_size,50,zdt3,30,29,71,50,200,20,0.65,0.5,0.5537530187544105,0.5245595409767134,0.7567002999470407,0.5129055422343983,0.7928160370304146,0.5317330658813808,0.01122008889404871,1.0463974566962728,0.5935381999997844,6
pop_size,pop_size,50,zdt4,10,0,42,50,200,20,0.65,0.5,0.7698705128094674,0.5619803288730786,0.731474497003584,0.48309370520842954,0.780601285483387,0.5015997561784554,0.010814155613670415,0.8584684417240749,0.6404457999997248,0
pop_size,pop_size,50,zdt4,10,1,43,50,200,20,0.65,0.5,0.6318429121840642,0.5143730733786449,0.7399156879701159,0.41055536257998343,0.8089855232870622,0.4187740302443221,0.010031826390806015,0.8600301354391646,0.6367792000000918,1
pop_size,pop_size,50,zdt4,10,2,44,50,200,20,0.65,0.5,0.8232613396454487,0.36832007298695857,0.7387502615863785,0.4335813951841736,0.8589989830298174,0.44144327182596016,0.11269662494750865,0.6944748724964074,0.6733577999998488,0
pop_size,pop_size,50,zdt4,10,3,45,50,200,20,0.65,0.5,0.7824538800982994,0.41057740641273344,0.7629422268290046,0.49831397907503594,0.7438513484274799,0.5216261675479372,0.010894752578378788,0.8576584299970621,0.6860713999999462,0
pop_size,pop_size,50,zdt4,10,4,46,50,200,20,0.65,0.5,0.9018015021836815,0.45114771781069035,0.5927654441231572,0.508003684690438,0.6767972015225578,0.5103405703348681,0.7551199759880712,0.04285343225588558,0.7297641999998632,0
pop_size,pop_size,50,zdt4,10,5,47,50,200,20,0.65,0.5,0.8346129184778865,0.4187510567835899,0.6298008603767067,0.45148808585583955,0.5712105397197607,0.4727388815039062,0.07416465215155457,0.7632885205055525,0.7638235000003988,0
pop_size,pop_size,50,zdt4,10,6,48,50,200,20,0.65,0.5,0.837594030411433,0.3737757153925139,0.7599436517850998,0.4823165248644578,0.5801249182282118,0.5062807828072144,0.5296151409391736,0.20417986669560326,0.7690247000000454,0
pop_size,pop_size,50,zdt4,10,7,49,50,200,20,0.65,0.5,0.8423879980141914,0.3250987522828928,0.7721688283079683,0.46391155780444804,0.7050686389212726,0.4470489058358283,0.13200588953535455,0.6696760048129214,0.705910600000152,0
pop_size,pop_size,50,zdt4,10,8,50,50,200,20,0.65,0.5,0.7896389507819999,0.40533975091944774,0.7078455516192613,0.5026268474983242,0.7227698184384721,0.4861281627698215,0.11680403171970938,0.6642174828815197,0.7541205000002265,0
pop_size,pop_size,50,zdt4,10,9,51,50,200,20,0.65,0.5,0.6013627480631651,0.5285446119508275,0.6144900652011724,0.4685378610273972,0.6843241626210607,0.441817435501445,0.009518820168484689,0.8628964081871675,0.7769289000002573,1
pop_size,pop_size,50,zdt4,10,10,52,50,200,20,0.65,0.5,0.8458581536246306,0.38326173434076033,0.7393585212453129,0.46633481464987186,0.7352478489155735,0.43599554986845374,0.26263095734540337,0.49033953543727593,0.7936197999997603,0
pop_size,pop_size,50,zdt4,10,11,53,50,200,20,0.65,0.5,0.755980128927944,0.3018996117192216,0.676714413048295,0.4676712847021487,0.7700211620656365,0.47027091076627914,0.016796561728236067,0.8467629350848215,0.7813052999999854,0
pop_size,pop_size,50,zdt4,10,12,54,50,200,20,0.65,0.5,0.768379669598657,0.4004861326140798,0.6198305347156643,0.478244025478014,0.7592032552149827,0.4771558818003309,0.009560839287365966,0.8606728773101553,0.766235599999618,0
pop_size,pop_size,50,zdt4,10,13,55,50,200,20,0.65,0.5,0.8035563688091295,0.3511129816732795,0.6425211364782671,0.4573789769902719,0.6975450370177219,0.45152505194991327,0.12925351876997962,0.6750520474237582,0.7298996999998053,0
pop_size,pop_size,50,zdt4,10,14,56,50,200,20,0.65,0.5,0.7786939252492326,0.5783760056276404,0.7974794907406326,0.5775743486132284,0.8738427697348661,0.5955857266644244,0.013743545951337343,0.8528411856536849,0.7154660000001059,0
